train_loss,val_loss,train_acc,val_acc,train_acc_top5,val_acc_top5,learning_rate
0.16062053737990903,2.4427372418653346,0.9515792914640625,0.5291762013729977,0.9980795162015282,0.8130925138934292,0.0011968986030691697
0.15903259189194732,2.2885288747941486,0.9516201528214768,0.5467473030402092,0.9982021002737711,0.8247793396534815,0.0011676433881609143
0.15203025354380623,2.227728956507171,0.9539492501940915,0.5560640732265446,0.9983859763821354,0.825106243870546,0.0011381819937194967
0.14244104516180808,2.253996670148699,0.956952559964042,0.5479731938542007,0.9983655457034283,0.8265773128473357,0.0011085434945843132
0.1352418110734187,2.1951439448843284,0.9587300290115638,0.5605590062111802,0.9989171740285213,0.8289473684210527,0.0010787571403757113
0.1359443344711327,2.2771686430108358,0.9592612266579497,0.55385746976136,0.9985698524904998,0.8262504086302713,0.0010488523266291444
0.13092993280684773,2.3614831222120785,0.9601601765210641,0.5415985616214449,0.9987537285988641,0.8192219679633868,0.0010188585657853288
0.12278802011612462,2.2896119373302204,0.9632043476484289,0.5520594965675057,0.9989784660646427,0.8281301078783916,0.0009888054580650266
0.12007412116650211,2.289694207328018,0.964042005475422,0.5581072245831972,0.998876312671107,0.8287839163125205,0.000958722662257202
0.11263386122475938,2.27180050108393,0.9666775630286438,0.5562275253350768,0.9989988967433499,0.8279666557698594,0.0009286398664493774
0.10533292527608788,2.2872701871625036,0.9690475217586729,0.5659529257927427,0.9991419114942999,0.8245341614906833,0.0008985867587290752
0.10550211235732894,2.289944878860641,0.9687819229354799,0.5570447858777379,0.9991214808155927,0.8271493952271984,0.0008685929978852595
0.09960758975649797,2.3137193946286563,0.970886282842316,0.5541026479241582,0.9992644955665427,0.8240438051650867,0.0008386881841386929
0.09650195899954883,2.313229084755323,0.971989539492502,0.557943772474665,0.9992849262452499,0.8277214776070612,0.0008089018299300908
0.09130388754554127,2.2171540707301065,0.9739304539696809,0.5688133376920562,0.9990806194581785,0.8345047401111474,0.0007792633307949075
0.08771990515200054,2.284831142534653,0.9746250970457239,0.5666067342268716,0.9995505250684429,0.8277214776070612,0.00074980193635349
0.08940477270543325,2.2894596690716953,0.9734809790381237,0.5674239947695325,0.9992440648878357,0.831644328211834,0.0007205467214452339
0.07905384605952971,2.2845334107675517,0.9770767784905815,0.5630925138934292,0.9995096637110286,0.834096109839817,0.00069152655743523
0.07576675368770144,2.2640733061058143,0.9785682180362032,0.5695488721804511,0.9996118171045643,0.8335240274599542,0.0006627700837217087
0.07259284886766142,2.3045279723283083,0.9792832917909533,0.5622752533507682,0.9996526784619786,0.8287021902582543,0.0006343056794724137
0.0662579891029364,2.26987570101391,0.9815306664487394,0.5709382151029748,0.9996731091406857,0.8371199738476627,0.0006061614356177908
0.06596272865560181,2.2112645669558657,0.9815919584848609,0.5743707093821511,0.9995096637110286,0.8405524681268388,0.0005783651271286276
0.06178409311108613,2.275542992982805,0.9827565071711682,0.5704478587773782,0.9996118171045643,0.8332788492971559,0.000550944185605515
0.058744553741055014,2.2505457026773747,0.9830016753156541,0.5737986270022883,0.9996935398193929,0.8362209872507356,0.0005239256722071656
0.05671382928485938,2.2814576886143705,0.98453397621869,0.573471722785224,0.9997752625342214,0.8335240274599542,0.0004973362509443185
